SampleID	Locus	Reads
SRR26819553	Pf3D7_01_v3-145388-145662-1A	13
SRR26819207	Pf3D7_01_v3-145388-145662-1A	4
SRR26819545	Pf3D7_01_v3-145388-145662-1A	22
SRR26819527	Pf3D7_01_v3-145388-145662-1A	1
SRR26819214	Pf3D7_01_v3-145388-145662-1A	14
SRR26819303	Pf3D7_01_v3-145388-145662-1A	13
SRR26819303	Pf3D7_01_v3-145388-145662-1A	15
SRR26819211	Pf3D7_01_v3-145388-145662-1A	21
SRR26819507	Pf3D7_01_v3-145388-145662-1A	7
SRR26819507	Pf3D7_01_v3-145388-145662-1A	11
SRR26819151	Pf3D7_01_v3-145388-145662-1A	3
SRR26819397	Pf3D7_01_v3-145388-145662-1A	72
SRR26819141	Pf3D7_01_v3-145388-145662-1A	16
SRR26819141	Pf3D7_01_v3-145388-145662-1A	34
SRR26819206	Pf3D7_01_v3-145388-145662-1A	2
SRR26819206	Pf3D7_01_v3-145388-145662-1A	17
SRR26819532	Pf3D7_01_v3-145388-145662-1A	13
SRR26819246	Pf3D7_01_v3-145388-145662-1A	13
SRR26819538	Pf3D7_01_v3-145388-145662-1A	11
SRR26819526	Pf3D7_01_v3-145388-145662-1A	5
SRR26819220	Pf3D7_01_v3-145388-145662-1A	2
SRR26819220	Pf3D7_01_v3-145388-145662-1A	1
SRR26819528	Pf3D7_01_v3-145388-145662-1A	10
SRR26819595	Pf3D7_01_v3-145388-145662-1A	12
SRR26819202	Pf3D7_01_v3-145388-145662-1A	62
SRR26819570	Pf3D7_01_v3-145388-145662-1A	15
SRR26819541	Pf3D7_01_v3-145388-145662-1A	3
SRR26819531	Pf3D7_01_v3-145388-145662-1A	13
SRR26819324	Pf3D7_01_v3-145388-145662-1A	25
SRR26819300	Pf3D7_01_v3-145388-145662-1A	26
SRR26819514	Pf3D7_01_v3-145388-145662-1A	14
SRR26819514	Pf3D7_01_v3-145388-145662-1A	7
SRR26819514	Pf3D7_01_v3-145388-145662-1A	2
SRR26819313	Pf3D7_01_v3-145388-145662-1A	6
SRR26819313	Pf3D7_01_v3-145388-145662-1A	6
SRR26819200	Pf3D7_01_v3-145388-145662-1A	35
SRR26819398	Pf3D7_01_v3-145388-145662-1A	64
SRR26819398	Pf3D7_01_v3-145388-145662-1A	14
SRR26819356	Pf3D7_01_v3-145388-145662-1A	14
SRR26819240	Pf3D7_01_v3-145388-145662-1A	11
SRR26819508	Pf3D7_01_v3-145388-145662-1A	7
SRR26819208	Pf3D7_01_v3-145388-145662-1A	2
SRR26819540	Pf3D7_01_v3-145388-145662-1A	9
SRR26819345	Pf3D7_01_v3-145388-145662-1A	22
SRR26819506	Pf3D7_01_v3-145388-145662-1A	16
SRR26819213	Pf3D7_01_v3-145388-145662-1A	2
SRR26819213	Pf3D7_01_v3-145388-145662-1A	8
SRR26819135	Pf3D7_01_v3-145388-145662-1A	54
SRR26819606	Pf3D7_01_v3-145388-145662-1A	14
SRR26819228	Pf3D7_01_v3-145388-145662-1A	18
SRR26819365	Pf3D7_01_v3-145388-145662-1A	42
SRR26819501	Pf3D7_01_v3-145388-145662-1A	15
SRR26819505	Pf3D7_01_v3-145388-145662-1A	2
SRR26819505	Pf3D7_01_v3-145388-145662-1A	17
SRR26819212	Pf3D7_01_v3-145388-145662-1A	7
SRR26819212	Pf3D7_01_v3-145388-145662-1A	6
SRR26819474	Pf3D7_01_v3-145388-145662-1A	8
SRR26819139	Pf3D7_01_v3-145388-145662-1A	28
SRR26819400	Pf3D7_01_v3-145388-145662-1A	4
SRR26819215	Pf3D7_01_v3-145388-145662-1A	2
SRR26819553	Pf3D7_01_v3-162867-163115-1A	54
SRR26819207	Pf3D7_01_v3-162867-163115-1A	44
SRR26819545	Pf3D7_01_v3-162867-163115-1A	224
SRR26819527	Pf3D7_01_v3-162867-163115-1A	33
SRR26819527	Pf3D7_01_v3-162867-163115-1A	14
SRR26819214	Pf3D7_01_v3-162867-163115-1A	46
SRR26819214	Pf3D7_01_v3-162867-163115-1A	193
